State,District,Year,Area_Ha,Production_Tonnes,Yield_Ton_per_Ha,Bagasse_Tonnes,Trash_Tonnes,Press_Mud_Tonnes,Bagasse_Ton_per_Ha,Trash_Ton_per_Ha,Press_Mud_Ton_per_Ha
Maharashtra,Solapur,1997 - 1998,53900.0,43112.0,0.8,12071.36,5173.44,1724.48,0.22400000000000003,0.096,0.032
Manipur,Bishnupur,1997 - 1998,7.0,2.0,0.29,0.56,0.24,0.08,0.08120000000000001,0.0348,0.0116
Meghalaya,East garo hills,1997 - 1998,21.0,58.0,2.76,16.240000000000002,6.96,2.32,0.7728,0.33119999999999994,0.1104
Meghalaya,East jaintia hills,1997 - 1998,6.0,5.0,0.83,1.4000000000000001,0.6,0.2,0.23240000000000002,0.0996,0.0332
Meghalaya,South garo hills,1997 - 1998,6.0,19.0,3.17,5.32,2.28,0.76,0.8876000000000001,0.38039999999999996,0.1268
Meghalaya,West garo hills,1997 - 1998,41.0,128.0,3.12,35.84,15.36,5.12,0.8736000000000002,0.3744,0.12480000000000001
Meghalaya,West khasi hills,1997 - 1998,8.0,15.0,1.88,4.2,1.7999999999999998,0.6,0.5264,0.22559999999999997,0.0752
Mizoram,Aizawl,1997 - 1998,894.0,4890.0,5.47,1369.2,586.8,195.6,1.5316,0.6564,0.2188
Mizoram,Champhai,1997 - 1998,48.0,95.0,1.98,26.6,11.4,3.8000000000000003,0.5544,0.23759999999999998,0.0792
Mizoram,Kolasib,1997 - 1998,160.0,2240.0,14.0,627.2,268.8,89.60000000000001,3.9200000000000004,1.68,0.56
Mizoram,Lunglei,1997 - 1998,150.0,263.0,1.75,73.64,31.56,10.52,0.49000000000000005,0.21,0.07
Odisha,Anugul,1997 - 1998,303.0,17501.0,57.76,4900.280000000001,2100.12,700.04,16.172800000000002,6.9312,2.3104
Odisha,Balangir,1997 - 1998,2174.0,139434.0,64.14,39041.520000000004,16732.079999999998,5577.36,17.959200000000003,7.6968,2.5656
Odisha,Baleshwar,1997 - 1998,147.0,5514.0,37.51,1543.92,661.68,220.56,10.5028,4.5012,1.5004
Odisha,Bargarh,1997 - 1998,1149.0,75440.0,65.66,21123.2,9052.8,3017.6,18.384800000000002,7.879199999999999,2.6264
Odisha,Bhadrak,1997 - 1998,246.0,18042.0,73.34,5051.76,2165.04,721.6800000000001,20.535200000000003,8.8008,2.9336
Odisha,Boudh,1997 - 1998,259.0,11537.0,44.54,3230.36,1384.44,461.48,12.471200000000001,5.344799999999999,1.7816
Odisha,Cuttack,1997 - 1998,3825.0,241109.0,63.04,67510.52,28933.079999999998,9644.36,17.651200000000003,7.5648,2.5216
Odisha,Deogarh,1997 - 1998,197.0,10321.0,52.39,2889.88,1238.52,412.84000000000003,14.669200000000002,6.2867999999999995,2.0956
Odisha,Dhenkanal,1997 - 1998,467.0,23888.0,51.15,6688.64,2866.56,955.52,14.322000000000001,6.138,2.046
Odisha,Gajapati,1997 - 1998,66.0,4002.0,60.64,1120.5600000000002,480.24,160.08,16.979200000000002,7.2768,2.4256
Odisha,Ganjam,1997 - 1998,1384.0,133036.0,96.12,37250.08,15964.32,5321.4400000000005,26.913600000000002,11.5344,3.8448
Odisha,Jagatsinghapur,1997 - 1998,380.0,18128.0,47.71,5075.84,2175.36,725.12,13.358800000000002,5.7252,1.9084
Odisha,Jajapur,1997 - 1998,508.0,23249.0,45.77,6509.72,2789.88,929.96,12.815600000000002,5.4924,1.8308000000000002
Odisha,Jharsuguda,1997 - 1998,46.0,3029.0,65.85,848.1200000000001,363.47999999999996,121.16,18.438,7.901999999999999,2.634
Odisha,Kalahandi,1997 - 1998,632.0,32863.0,52.0,9201.640000000001,3943.56,1314.52,14.560000000000002,6.24,2.08
Odisha,Kandhamal,1997 - 1998,4.0,172.0,43.0,48.160000000000004,20.64,6.88,12.040000000000001,5.16,1.72
Odisha,Kendrapara,1997 - 1998,127.0,9059.0,71.33,2536.5200000000004,1087.08,362.36,19.9724,8.5596,2.8532
Odisha,Kendujhar,1997 - 1998,199.0,6950.0,34.92,1946.0000000000002,834.0,278.0,9.777600000000001,4.1904,1.3968
Odisha,Khordha,1997 - 1998,346.0,19705.0,56.95,5517.400000000001,2364.6,788.2,15.946000000000002,6.8340000000000005,2.278
Odisha,Koraput,1997 - 1998,369.0,23007.0,62.35,6441.960000000001,2760.8399999999997,920.28,17.458000000000002,7.482,2.494
Odisha,Mayurbhanj,1997 - 1998,9.0,415.0,46.11,116.20000000000002,49.8,16.6,12.910800000000002,5.5332,1.8444
Odisha,Nabarangpur,1997 - 1998,2833.0,156931.0,55.39,43940.68000000001,18831.719999999998,6277.24,15.509200000000002,6.6468,2.2156000000000002
Odisha,Nayagarh,1997 - 1998,2046.0,123191.0,60.21,34493.48,14782.92,4927.64,16.858800000000002,7.2252,2.4084
Odisha,Nuapada,1997 - 1998,67.0,2944.0,43.94,824.32,353.28,117.76,12.3032,5.272799999999999,1.7576
Odisha,Puri,1997 - 1998,296.0,10934.0,36.94,3061.5200000000004,1312.08,437.36,10.3432,4.432799999999999,1.4776
Odisha,Rayagada,1997 - 1998,178.0,7026.0,39.47,1967.2800000000002,843.12,281.04,11.0516,4.7364,1.5788
Odisha,Sambalpur,1997 - 1998,41.0,2440.0,59.51,683.2,292.8,97.60000000000001,16.6628,7.1411999999999995,2.3804
Odisha,Sonepur,1997 - 1998,295.0,18533.0,62.82,5189.240000000001,2223.96,741.32,17.5896,7.538399999999999,2.5128
Odisha,Sundargarh,1997 - 1998,89.0,5612.0,63.06,1571.3600000000001,673.4399999999999,224.48000000000002,17.656800000000004,7.5672,2.5224
Punjab,Amritsar,1997 - 1998,11000.0,600000.0,54.55,168000.00000000003,72000.0,24000.0,15.274000000000001,6.545999999999999,2.182
Punjab,Faridkot,1997 - 1998,2000.0,130000.0,65.0,36400.0,15600.0,5200.0,18.200000000000003,7.8,2.6
Punjab,Fatehgarh sahib,1997 - 1998,6000.0,380000.0,63.33,106400.00000000001,45600.0,15200.0,17.732400000000002,7.5996,2.5332
Punjab,Firozepur,1997 - 1998,8000.0,530000.0,66.25,148400.0,63600.0,21200.0,18.55,7.949999999999999,2.65
Punjab,Gurdaspur,1997 - 1998,19000.0,980000.0,51.58,274400.0,117600.0,39200.0,14.442400000000001,6.1895999999999995,2.0632
Punjab,Hoshiarpur,1997 - 1998,13000.0,770000.0,59.23,215600.00000000003,92400.0,30800.0,16.584400000000002,7.1076,2.3691999999999998
